countyname,name,addr1,addr2,city,state,zip
Travis,University Co-op,2246 Guadalupe St.,,Austin,TX,78705
Travis,Sunset Valley City Hall,3205 Jones Rd.,,Austin,TX,78745
Travis,Bailey Middle School,4020 Lost Oasis Hollow,,Austin,TX,78739
Travis,Oak Hill Primitive Baptist Church,11408 FM 1826,,Austin,TX,78737
Travis,Kiker Elementary School,5913 LaCrosse Ave.,,Austin,TX,78739
Travis,Great Hills Baptist Church,10500 Jollyville Rd.,,Austin,TX,78759
Travis,Lakeway Activity Center,105 Cross Creek,,Austin,TX,78734
Travis,Rollingwood Municipal Building,403 Nixon Dr.,,Austin,TX,78746
Travis,Briarcliff P.O.A. Community Center,22801 Briarcliff Dr.,,Spicewood,TX,78669
Travis,Cowan Elem. School,2817 Kentish Dr.,,Austin,TX,78748
Travis,Manchaca United Methodist Church,1011 FM 1626 ,,Manchaca,TX,78652
Travis,ACC Rio Grande,1212 Rio Grande St.,,Austin,TX,78701
Travis,Travis County Sheriff’s Office,3800 Hudson Bend Rd.,,Austin,TX,78734
Travis,Senior Activity Center,2874 Shoal Crest Ave.,,Austin,TX,78705
Travis,Oak Hill Fire Dept. Barton Creek Station #302,4111 Barton Creek Blvd.,,Austin,TX,78735
Travis,Villages Amenities Center,12006 Gatling Gun Ln.,,Austin,TX,78748
Travis,Travis County Parks Office,14624 Hamilton Pool Rd.,,Austin,TX,78738
Travis,Lost Creek MUD Office,1305 Quaker Ridge Dr.,,Austin,TX,78746
Travis,Austin Ridge Bible Church,9300 Bee Cave Rd.,,Austin,TX,78733
Travis,Lakeway Activity Center,105 Cross Creek,,Austin,TX,78734
Travis,Randalls Lakeway,2301 RR 620 South,,Austin,TX,78759
Travis,Great Hills Baptist Church,10500 Jollyville Rd.,,Austin,TX,78759
Travis,Bee Cave City Hall,4000 Galleria Pkwy.,,Bee Cave,TX,78738
Travis,Austin City Hall,301 West 2nd St.,,Austin,TX,78701
Travis,Laurel Mountain Elementary,10111 DK Ranch Rd.,,Austin,TX,78759
Travis,Fire Station # 33,9409 Bluegrass Dr.,,Austin,TX,78759
Travis,Renaissance Retirement Center,11279 Taylor Draper Ln.,,Austin,TX,78759
Travis,Laura's Library,9411 Bee Cave Rd.,,Austin,TX,78733
Travis,Kathy Caraway Elementary School,11104 Oak View Dr.,,Austin,TX,78759
Travis,Zilker Elementary School,1900 Bluebonnet Ln.,,Austin,TX,78704
Travis,Canyon Creek Elementary School,10210 Ember Glen Drive,,Austin,TX,78726
Travis,Celebration Church - Anderson Mill,10401 Anderson Mill Rd.,,Austin,TX,78750
Travis,Canyon Vista Middle School,"8455 Spicewood Springs Rd.",,Austin,TX,78759
Travis,Hallmark Baptist Church,9023 Old Lampasas Tr.,,Austin,TX,78750
Travis,Lakewood Homeowner's Association,7317 Lakewood Dr.,,Austin,TX,78750
Travis,Travis County WCID #18,1502 San Juan Dr.,,Austin,TX,78733
Travis,Western Hills Church of Christ,6211 Parkwood Dr.,,Austin,TX,78735
Travis,Barton Hills Elementary School,2108 Barton Hills Dr.,,Austin,TX,78704
Travis,Cunningham Elem. School,2200 Berkeley Ave.,,Austin,TX,78745
Travis,Serene Hills Elem. School,3301 Serene Hills Dr.,,Austin,TX,78738
Travis,Hill Country Middle School,1300 Walsh Tarlton Ln.,,Austin,TX,78746
Travis,ACC Pinnacle Campus,7748 Highway 290 West,,Austin,TX,78749
Travis,Cowan Elementary School,2817 Kentish Dr.,,Austin,TX,78748
Travis,Small Middle School,4801 Monterey Oaks Blvd.,,Austin,TX,78749
Travis,Covington Middle School,3700 Convict Hill Rd.,,Austin,TX,78749
Travis,LTISD Educational Development Center,607 RR 620 North,,Lakeway,TX,78734
Travis,Bowie High School,4103 West Slaughter Ln.,,Austin,TX,78749
Travis,Oak Hill Fire Dept. Station #301,9211 Circle Dr.,,Austin,TX,78736
Travis,Will Hampton Branch Public Library,5125 Convict Hill Rd.,,Austin,TX,78749
Travis,Shepherd of the Hills Presbyterian Church,5226 W. William Cannon Dr.,,Austin,TX,78749
Travis,Randalls Flagship West Lake Hills,3300 Bee Cave Rd.,,Austin,TX,78746
Travis,Community Center at Oak Hill,8656 Highway 71 West,,Austin,TX,78735
Travis,Mills Elementary School,6201 Davis Ln.,,Austin,TX,78749
Travis,Clayton Elementary School,7525 LaCrosse Ave.,,Austin,TX,78739
Travis,Christ Episcopal Church,3520 West Whitestone Blvd.,,Cedar Park,TX,78613
Travis,Round Mountain Community Center,14340 Round Mountain Rd.,,Leander,TX,78641
Travis,Lago Vista Middle School,8039 Bar-K Ranch Rd.,,Lago Vista,TX,78645
Travis,Community Center at Jonestown,"18649 FM 1431, Suite 6A",,Jonestown,TX,78645
Travis,"Lago Vista City Hall",5803 Thunderbird St.,,Lago Vista,TX,78645
Travis,Deer Creek Elementary,2420 Zeppelin Dr.,,Cedar Park,TX,78613
Travis,Volente Fire Dept,15406 FM 2769,,Volente,TX,78641
Travis,Del Valle ISD Administration Building,5301 Ross Rd.,,Del Valle,TX,78617
Travis,Elroy Community Library,13512 FM 812,,Del Valle,TX,78617
Travis,Creedmoor Elementary School,5604 FM 1327,,Austin,TX,78747
Travis,Blazier Elementary School,8601 Vertex Blvd.,,Austin,TX,78747
Travis,Ojeda Middle School,4900 McKinney Falls Pkwy,,Austin,TX,78744
Travis,St. Alban's Episcopal Church,11819 IH-35 South,,Austin,TX,78747
Travis,Community Center at Del Valle,3518 South FM 973,,Del Valle,TX,78617
Travis,Southwest Church,"8900 Manchaca Rd.",,Austin,TX,78748
Travis,Galindo Elementary School,3800 South 2nd St.,,Austin,TX,78704
Travis,"Science & Health Resource Center",305 North Bluff Dr.,,Austin,TX,78745
Travis,Akins High School,10701 South 1st St.,,Austin,TX,78748
Travis,Randalls Ben White,2025 West Ben White Blvd.,,Austin,TX,78704
Travis,Langford Elementary,2206 Blue Meadow Dr.,,Austin,TX,78744
Travis,Texas Oaks Baptist Church,9910 Bilbrook Place,,Austin,TX,78748
Travis,Casey Elementary School,9400 Texas Oaks Dr.,,Austin,TX,78748
Travis,Akins High School,10701 South 1st St.,,Austin,TX,78748
Travis,Odom Elem.,1010 Turtle Creek Blvd.,,Austin,TX,78745
Travis,"Parker Lane United Methodist Church",2105 Parker Ln.,,Austin,TX,78741
Travis,Church on Congress Avenue,1511 South Congress Ave.,,Austin,TX,78704
Travis,Fulmore Middle School,201 East Mary St.,,Austin,TX,78704
Travis,Montopolis Recreation Center,1200 Montopolis Dr.,,Austin,TX,78741
Travis,South Austin Rec. Center,1100 Cumberland Rd.,,Austin,TX,78704
Travis,St. Elmo Elem. School,600 West St. Elmo Rd.,,Austin,TX,78745
Travis,Govalle Elementary School,3601 Govalle Ave.,,Austin,TX,78702
Travis,Sanchez Elementary,73 San Marcos St.,,Austin,TX,78702
Travis,Dan Ruiz Branch Public Library,1600 Grove Blvd.,,Austin,TX,78741
Travis,Wheatsville Food Co-op,4001 South Lamar Blvd.,,Austin,TX,78704
Travis,Baty Elementary School,2101 Faro Dr.,,Austin,TX,78741
Travis,Travis High School,1211 East Oltorf St.,,Austin,TX,78704
Travis,Southwest Church of Christ,8900 Manchaca Rd.,,Austin,TX,78748
Travis,Twin Oaks Branch Library,1800 South 5th St.,,Austin,TX,78704
Travis,"Cantu/Pan Am Recreation Center",2100 East 3rd St.,,Austin,TX,78702
Travis,Cityview at the Park Senior Apts.,2000 Woodward St.,,Austin,TX,78741
Travis,St. John's Lutheran Church,409 West Ben White Blvd.,,Austin,TX,78704
Travis, Southeast Branch Library,5803 Nuckols Crossing Rd.,,Austin,TX,78744
Travis,"Odom Elem. School",1010 Turtle Creek Blvd.,,Austin,TX,78745
Travis,Langford Elementary School,2206 Blue Meadow Dr.,,Austin,TX,78744
Travis,Bedichek Middle School,6800 Bill Hughes Rd.,,Austin,TX,78745
Travis,Houston Elementary School,5409 Ponciana Dr.,,Austin,TX,78744
Travis,Randalls Ben White and Manchaca,2025 West Ben White Blvd.,,Austin,TX,78704
Travis,ACC South Austin Campus,1820 West Stassney Ln.,,Austin,TX,78745
Travis,Wheatsville Food Co-op South Lamar,4001 South Lamar Blvd.,,Austin,TX,78704
Travis,Williams Elementary School,500 Mairo St.,,Austin,TX,78748
Jefferson,Amelia Elementary School,565 S. Major Dr.,,Beaumont,TX,77707
Jefferson,Beaumont Municipal Airport,455 Keith Rd.,,Beaumont,TX,77713
Jefferson,Bevil Oaks Civic Center,7390 Sweetgum Rd.,,Bevil Oaks,TX,77713
Jefferson,BISD Administration Building,3395 Harrison Ave.,,Beaumont,TX,77706
Jefferson,Calvary Baptist Church,3650 Dowlen Rd.,,Beaumont,TX,77706
Jefferson,Dishman Elementary,3475 Champions Dr.,,Beaumont,TX,77707
Jefferson,O.C. Mike Taylor Career Center,2330 North St.,,Beaumont,TX,77702
Jefferson,Precinct 1 Service Center,20205 W. Hwy 90,,Beaumont,TX,77713
Jefferson,Rogers Park Community Center,6540 Gladys Ave.,,Beaumont,TX,77706
Jefferson,Roy Guess Elementary,8055 Voth Rd.,,Beaumont,TX,77708
Jefferson,Hebert Library,2025 Merriman St.,,Port Neches,TX,77651
Jefferson,Central Gardens Fire Station,3707 Central Blvd.,,Nederland,TX,77627
Jefferson,Groves Elementary,3901 Cleveland Ave.,,Groves,TX,77619
Jefferson,Nederland City Hall,207 N. 12th Street,,Nederland,TX,77627
Jefferson,Jerry Ware Airport Terminal,5000 Jerry Ware Dr.,,Beaumont,TX,77705
Jefferson,JP 4 BLDG,19217 FM 365,,Beaumont,TX,77704
Jefferson,Marion & Ed Hughes Public Library,2712 Nederland Ave.,,Nederland,TX,77627
Jefferson,Port Neches City Hall,20005 Merriman,,Port Neches,TX,77651
Jefferson,West Groves Education Center,5840 W. Jefferson Blvd.,,Groves,TX,77619
Jefferson,DeQueen Elementary,740 DeQueen Blvd.,,Port Arthur,TX,77640
Jefferson,El Vista Community Center,615 Ellias St.,,Port Arthur,TX,77640
Jefferson,Jefferson County Sub-Courthouse,525 Lakeshore Dr.,,Port Arthur,TX,77640
Jefferson,Memorial 9th Grade Academy,2441 61st St.,,Port Arthur,TX,77642
Jefferson,O W Collings Retirement Center,4440 Gulfway Dr.,,Port Arthur,TX,77642
Jefferson,Port Arthur Public Library,4615 9th Ave,,Port Arthur,TX,77642
Jefferson,Port Arthur Recreation Center,1308 9th Ave,,Port Arthur,TX,77642
Jefferson,R.L. Gabby Eldridge Center,5262 Gulfway Dr.,,Sabine Pass,TX,77655
Jefferson,Travis Elementary,1115 Lakeview Ave.,,Port Arthur,TX,77642
Jefferson,Willie Ryman III Community Center,3248 39th St,,Port Arthur,TX,77642
Jefferson,Alice Keith Park Recreation Center,4075 Highland Ave.,,Beaumont,TX,77705
Jefferson,Charlton-Pollard Elementary,825 Jackson St.,,Beaumont,TX,77701
Jefferson,Dr. Mae Jones-Clark Elementary,3525 Cleveland St.,,Beaumont,TX,77703
Jefferson,Hamshire Community Building,12393 2nd St.,,Hamshire,TX,77622
Jefferson,Jefferson County Courthouse,1001 Pearl St.,,Beaumont,TX,77701
Jefferson,MLK MIddle School,1400 Avenue A,,Beaumont,TX,77701
Jefferson,John Paul Davis Community Center,3580 E. Lucas Dr.,,Beaumont,TX,77703
Jefferson,Precinct 4 Service Center,7780 Boyt Rd.,,Beaumont,TX,77713
Jefferson,Sterling Pruitt Center,2930 Gulf St.,,Beaumont,TX,77703
Jefferson,Theodore Johns Library,4255 Fannett Rd.,,Beaumont,TX,77705
Collin,Akin Elementary School,1100 Springwood,,Wylie,TX,75098
Collin,Aldridge Elementary School,720 Pleasant Valley,,Richardson,TX,75080
Collin,Allen Municipal Courts Facility,301 Century Pkwy,,Allen,TX,75013
Collin,Armstrong Middle School,3805 Timberline,,Plano,TX,75074
Collin,Blue Ridge ISD Administration,318 West School Street,,Blue Ridge,TX,75424
Collin,Bowman Middle School,2501 Jupiter Road,,Plano,TX,75074
Collin,Brinker Elementary School,3800 Clark Parkway,,Plano,TX,75093
Collin,Carpenter Middle School,3905 Rainier Road,,Plano,TX,75023
Collin,Carpenter Park Recreation Ctr,6701 Coit Road,,Plano,TX,75024
Collin,Celina ISD Administration Building,205 S. Colorado,,Celina,TX,75009
Collin,Christ the Servant Lutheran Church,821 S. Greenville ave. ,,Allen,TX,75002
Collin,Christ United Methodist Church,3101 Coit Road,,Plano,TX,75075
Collin,Clark High School,523 W. Spring Creek Pkwy,,Plano,TX,75023
Collin,Clark Middle School,4600 Colby Dr.,,Frisco,TX,75035
Collin,Collin College - Central Park Campus,2200 W. University Dr,,McKinney,TX,75071
Collin,Collin College - Higher Education Center,3452 Spur 399,,McKinney,TX,75069
Collin,Collin College - Preston Ridge Campus,9700 Wade Blvd,,Frisco,TX,75035
Collin,Collin College - Spring Creek Campus,2800 E. Spring Creek Pkwy,,Plano,TX,75074
Collin,Collin County Elections Office,"2010 Redbud Blvd, Suite 102",,McKinney,TX,75069
Collin,Community ISD Technology & Conference Center,615 FM 1138,,Nevada,TX,75173
Collin,Curtis Middle School,1530 Rivercrest Blvd,,Allen,TX,75002
Collin,Davis Library,7501-B Independence Pkwy,,Plano,TX,75025
Collin,Dowell Middle School,301 S. East Ridge Road,,McKinney,TX,75070
Collin,Dr. Pepper Star Center at Craig Ranch,6993 Stars Ave.,,McKinney,TX,75070
Collin,Eldorado Country Club,2604 Country Club Drive,,McKinney,TX,75070
Collin,First Baptist Church - Branch,7011 FM 546,,Princeton,TX,75407
Collin,First Baptist Church Farmersville Youth Building,201 Farmersville Parkway,,Farmersville,TX,75442
Collin,Ford Middle School,630 Park Place Drive,,Allen,TX,75002
Collin,Fowler Middle School,3801 McDermott Road,,Plano,TX,75025
Collin,Frisco Senior Center,6670 Moore Street,,Frisco,TX,75034
Collin,Gay Library,6861 W. Eldorado Parkway,,McKinney,TX,75070
Collin,Haggar Elementary School,17820 Campbell Road,,Dallas,TX,75252
Collin,Harrington Library,1501 18th Street,,Plano,TX,75074
Collin,Heritage High School,14040 Eldorado Pkwy,,Frisco,TX,75035
Collin,Islamic Association of Collin County,6401 Independence Pkwy,,Plano,TX,75023
Collin,Lavon City Hall,120 School Road,,Lavon,TX,75173
Collin,Liberty High School,15250 Rolater Road,,Frisco,TX,75035
Collin,Loveyjoy ISD Administration Building,259 Country Club Rd,,Allen,TX,75002
Collin,Lowry Crossing City Hall,1405 S Bridgefarmer Road,,Lowry Crossing,TX,75069
Collin,Lucas Community Center,665 Country Club Rd,,Lucas,TX,75002
Collin,McKinney Fire Station #7,861 S. Independence Pkwy,,McKinney,TX,75070
Collin,McKinney Senior Recreation Center,1400 S College,,McKinney,TX,75069
Collin,Melissa City Hall,3411 Barker Ave,,Melissa,TX,75454
Collin,Mitchell Elementary School,4223 Briagrove ,,Dallas,TX,75287
Collin,Murphy Community Center,205 N Murphy Road,,Murphy,TX,75094
Collin,Old Settlers Recreation Center,1201 E. Louisiana St,,McKinney,TX,75069
Collin,Parker City Hall,5700 E. Parker Road,,Parker,TX,75002
Collin,Parr Library,6200 Windhaven Pkwy,,Plano,TX,75093
Collin,Plano ISD Administration Center,2700 W. 15th Street,,Plano,TX,75075
Collin,Princeton High School,1000 E. Princeton Drive,,Princeton,TX,75407
Collin,Prosper ISD Administration Bldg,605 E. 7th Street,,Prosper,TX,75078
Collin,Renner Frankford Library,6400 Frankford Rd ,,Dallas,TX,75252
Collin,Royse City ISD Mike McKinney Maintenance Center,1420 FM 1777,,Royse City,TX,75189
Collin,Shepton High School,5505 Plano Pkwy,,Plano,TX,75093
Collin,Shiloh Missionary Baptist Church,1310 Avenue I ,,Plano,TX,75074
Collin,Smith Library,300 Country Club Rd,,Wylie,TX,75098
Collin,Staley Middle School,6927 Stadium Drive,,Frisco,TX,75033
Collin,Stonebridge United Methodist Church,1800 S Stonebridge Drive,,McKinney,TX,75070
Collin,Suncreek United Methodist Church,1517 W. McDermott,,Allen,TX,75013
Collin,Texas Star Bank,402 W. White St,,Anna,TX,75409
Collin,Weston Community Center,117 Main Street,,Weston,TX,75097
Collin,Whitt Elementary School,7520 Woodcreek Way,,Sachse,TX,75048
Collin,Woodcreek Church,3400 E Renner Road,,Richardson,TX,75082
Fort Bend,Austin Parkway Elementary School,4400 Austin Pkwy,,Sugarland,TX,77479
Fort Bend,Beasley City Hall,319 S. 3rd St,,Beasley,TX,77417
Fort Bend,Beck Jr. Hi. School ,5200 S Fry Rd ,,KATY,TX,77450
Fort Bend,Beckendorf Jr High School ,8200 South Fry Rd.,,KATY,TX,77494
Fort Bend,Brazos Bend Home & Ranch,22930 FM 1462 ,,NEEDVILLE ,TX,77461
Fort Bend,Briarchase Missionary Bapt Church ,16000 Blue Ridge Rd ,,MISSOURI CITY ,TX,77489
Fort Bend,Brightwater Clubhouse ,2410 Brightwater ,,MISSOURI CITY ,TX,77459
Fort Bend,Briscoe Junior High School ,4300 FM 723,,RICHMOND,TX,77406
Fort Bend,Calvary Baptist Church,4111 Airport Ave,,ROSENBERG,TX,77471
Fort Bend,Chasewood Clubhouse ,7622 Chasewood Dr ,,MISSOURI CITY,TX,77489
Fort Bend,Cindy's Palace, 1102 FM 2977,,Richmond,TX,77469
Fort Bend,Clements High School ,4200 Elkins Dr,,Sugarland,TX,77479
Fort Bend,Commonwealth Clubhouse ,4330 Knightsbridge Blvd,,Sugarland,TX,77479
Fort Bend,Crockett Middle School,19001 Beechnut,,Richmond,TX,77469
Fort Bend,Deseo at Grand Mission,19002 Mission Park Dr,,Richmond,TX,77407
Fort Bend,Dickinson Elementary School ,7110 Greatwood Pkwy,,Sugarland,TX,77479
Fort Bend,Elkins High School ,7007 Knights Court,,Missouri City,TX,77459
Fort Bend,"FBC Fairgrounds Building ""D""",4310 Highway 36 S,,ROSENBERG,TX,77471
Fort Bend,FBC Library - Cinco Ranch,2620 Commercial Center Dr,,KATY,TX,77494
Fort Bend,FBC Library - Sienna,8411 Sienna Springs Blvd,,Missouri City,TX,77459
Fort Bend,FBC Library - Sugar Land Branch,5500 Eldridge,,Sugarland,TX,77478
Fort Bend,FBC Library - University Branch,14010 University Blvd,,Sugarland,TX,77479
Fort Bend,MUD 23 Admin. Building,1570 Rabb Road,,Fresno,TX,77545
Fort Bend,FBC Rosenberg Annex Building,4520 Reading Rd,,ROSENBERG,TX,77471
Fort Bend,Fellowship Church of Fort Bend,1110 Bamore Rd,,ROSENBERG,TX,77471
Fort Bend,Fifth Street Community Center,3110 Fifth Street,,Stafford,TX,77477
Fort Bend,First Colony Conference Center,3232 Austin Parkway,,Sugarland,TX,77479
Fort Bend,Four Corners Community Center,15700 Old Richmond Rd,,Sugarland,TX,77479
Fort Bend,Gallery Furniture,7227 W. Grand Pkwy S,,Richmond,TX,77407
Fort Bend,Garcia Middle School,18550 Old Richmond Rd,,Sugarland,TX,77478
Fort Bend,George Bush High School,6707 FM 1464,,Richmond,TX,77469
Fort Bend,George Memorial Library,1001 Golfview Dr,,Richmond,TX,77469
Fort Bend,Great Oaks Baptist Church,7101 FM 2759 Rd RICHMOND 77469,,Richmond,TX,77469
Fort Bend,Hightower High School,3333 Hurricane Lane,,Missouri City,TX,77459
Fort Bend,Hunters Glen Elementary School,8295 Independence Blvd,,Missouri City,TX,77459
Fort Bend,Imperial Park Recreation Center,234 Matlage Way,,Sugarland,TX,77478
Fort Bend,Irene Stern Community Center,6920 Katy-Fulshear Road,,Fulshear,TX,77441
Fort Bend,James Bowie Middle School,700 Plantation Dr,,Richmond,TX,77406
Fort Bend,Joy Lutheran Church,717 FM 359,,Richmond,TX,77406
Fort Bend,Kempner High School,14777 Voss Rd,,Sugarland,TX,77498
Fort Bend,Kendleton Church of God,619 FM 2919,,Kendleton,TX,77451
Fort Bend,Knights of Columbus (Needville),13631 Hwy 36,,NEEDVILLE ,TX,77461
Fort Bend,Knights of Columbus (Sugar Land),702 Burney Rd,,Sugarland,TX,77478
Fort Bend,Lake Olympia Marina Clubhouse,180 Island Blvd,,Missouri City,TX,77479
Fort Bend,Lantern Lane Elementary School,3323 Mission Valley Dr,,Missouri City,TX,77459
Fort Bend,Lexington Creek Elementary School,2335 Dulles Ave,,Missouri City,TX,77459
Fort Bend,Lost Creek Community Center,3703 Lost Creek Blvd,,Sugarland,TX,77478
Fort Bend,McMeans Junior High School,21000 Westheimer Parkway,,KATY,TX,77450
Fort Bend,Meadows Place City Hall,One Troyan Dr,,Meadows Place,TX,77477
Fort Bend,Merrell Center,6301 S Stadium Ln,,KATY,TX,77492
Fort Bend,Mission Bend Elementary School,16200 Beechnut St,,Houston,TX,77483
Fort Bend,Missouri City Baptist Church,16816 Quail Park Dr,,Missouri City,TX,77459
Fort Bend,Missouri City Old Municipal Court,1522 Texas Parkway,,Missouri City,TX,77489
Fort Bend,Missouri City Parks & Recreation,2701 Cypress Point Dr,,Missouri City,TX,77459
Lubbock,Abernathy City Hall,811 Avenue D,,Lubbock,TX,79401
Lubbock,Bacon Heights Baptist Church,5110 54th St,,Lubbock,TX,79414
Lubbock,Broadview Baptist Church,1302 N Frankford Ave,,Lubbock,TX,79416
