id,source_id,county_name,county_fips,LocationName,address_line1,location_detail ,city,state,state_fips,zip5,Zip4,Latitude,Longitude,Schedule,exceptions,Notes,Source,date_acquired,county_wide,van_precinct_ids
38,38,Travis,453,Barrington Elementary School,400 Cooper Dr.,,Austin,TX,48,78753,,30.360326,-97.696146,Street,4.85E+14,,,2/27/2016,Yes,
39,39,Travis,453,Winters Building,701 West 51st St.,,Austin,TX,48,78751,,30.318429,-97.730598,Street,4.85E+14,,,2/27/2016,Yes,
40,40,Travis,453,Red River Church,4425 Red River St.,,Austin,TX,48,78751,,30.304113,-97.719879,Street,4.85E+14,,,2/27/2016,Yes,
41,41,Travis,453,Boulder Ridge Community Room,3300 Killingsworth Ln.,,Pflugerville,TX,48,78660,,30.411421,-97.604029,Street,4.85E+14,,,2/27/2016,Yes,
42,42,Travis,453,River Oaks Elementary School,12401 Scofield Farms Dr.,,Austin,TX,48,78758,,30.407844,-97.688976,Street,4.85E+14,,,2/27/2016,Yes,
43,43,Travis,453,Hartfield Performing Arts Center,5800 McNeil Dr.,,Austin,TX,48,78729,,30.444992,-97.739588,Street,4.85E+14,,,2/27/2016,Yes,
44,44,Travis,453,UT Flawn Academic Center,2400 Inner Campus Dr. (West Mall),,Austin,TX,48,78712,,30.28721,-97.73512,Zip5,4.85E+14,,,2/27/2016,Yes,
45,45,Travis,453,Cook Elementary School,1511 Cripple Creek Dr.,,Austin,TX,48,78758,,30.377504,-97.703849,Street,4.85E+14,,,2/27/2016,Yes,
46,46,Travis,453,O. Henry Middle School,2610 West 10th St.,,Austin,TX,48,78703,,30.285414,-97.774791,Street,4.85E+14,,,2/27/2016,Yes,
47,47,Travis,453,Walnut Creek Elementary School,401 West Braker Ln.,,Austin,TX,48,78753,,30.380113,-97.683603,Street,4.85E+14,,,2/27/2016,Yes,
48,48,Travis,453,Bridge Point Elementary,6401 Cedar St.,,Austin,TX,48,78746,,30.33952,-97.803937,Street,4.85E+14,,,2/27/2016,Yes,
49,49,Travis,453,Cat Mountain H.O.A.,6007 Mount Bonnell Rd.,,Austin,TX,48,78731,,30.348791,-97.779745,Street,4.85E+14,,,2/27/2016,Yes,
50,50,Travis,453,Bryker Woods Elementary School,3309 Kerbey Ln.,,Austin,TX,48,78703,,30.304733,-97.751666,Street,4.85E+14,,,2/27/2016,Yes,
51,51,Travis,453,Wells Branch MUD,3000 Shoreline Dr.,,Austin,TX,48,78728,,30.454404,-97.683369,Street,4.85E+14,,,2/27/2016,Yes,
52,52,Travis,453,Northwest Elementary School,14014 Thermal Dr.,,Austin,TX,48,78728,,30.432331,-97.675553,Street,4.85E+14,,,2/27/2016,Yes,
53,53,Travis,453,Lanier High School,1201 Payton Gin Rd.,,Austin,TX,48,78758,,30.361205,-97.707726,Street,4.85E+14,,,2/27/2016,Yes,
54,54,Travis,453,ACC Northridge Campus,11928 Stonehollow Dr.,,Austin,TX,48,78758,,30.401733,-97.704685,Street,4.85E+14,,,2/27/2016,Yes,
55,55,Travis,453,Caldwell Elementary School,1718 Picadilly Dr.,,Round Rock,TX,48,78664,,30.467113,-97.654606,Street,4.85E+14,,,2/27/2016,Yes,
56,56,Travis,453,Bridge Point Elementary,6401 Cedar St.,,Austin,TX,48,78746,,30.33952,-97.803937,Street,4.85E+14,,,2/27/2016,Yes,
57,57,Travis,453,Brookdale North Austin,5310 Duval Rd.,,Austin,TX,48,78727,,30.418416,-97.743597,Street,4.85E+14,,,2/27/2016,Yes,
58,58,Travis,453,Wells Branch Community Center,2106 Klattenhoff Dr.,,Austin,TX,48,78728,,30.441747,-97.678947,Street,4.85E+14,,,2/27/2016,Yes,
59,59,Travis,453,Cat Mountain H.O.A.,6007 Mount Bonnell Rd.,,Austin,TX,48,78731,,30.348791,-97.779745,Street,4.85E+14,,,2/27/2016,Yes,
60,60,Travis,453,Canyon Ridge Middle School,12601 Country Trails Ln.,,Austin,TX,48,78731,,30.365985,-97.901905,Street,4.85E+14,,,2/27/2016,Yes,
61,61,Travis,453,River Place Elementary School,6500 Sitio Del Rio Blvd.,,Austin,TX,48,78730,,30.39114,-97.842708,Street,4.85E+14,,,2/27/2016,Yes,
62,62,Travis,453,McCallum High School,5600 Sunshine Dr.,,Austin,TX,48,78756,,30.326454,-97.729165,Street,4.85E+14,,,2/27/2016,Yes,
63,63,Travis,453,Rosedale School,2117 West 49th St.,,Austin,TX,48,78756,,30.320338,-97.740293,Street,4.85E+14,,,2/27/2016,Yes,
